TAG_NUMBER,catchAREA,Y,X,DATE,BOAT,GearType,Company
455147,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455193,Scots Bay,45.2,-64.9705,2019-07-22,Leroy and Barry,Purse Seine,Scotia Gardens
455260,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455308,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455322,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455333,McDormant Patch,44.16666667,-66.41666667,2019-08-01,Brunswick Provider,Purse Seine,Connors
455336,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455352,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455355,Scots Bay,45.2,-64.9705,2019-07-22,Leroy and Barry,Purse Seine,Scotia Gardens
455358,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455361,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455365,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455390,Scots Bay,45.2,-64.9705,2019-07-22,Leroy and Barry,Purse Seine,Seacrest
455392,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455493,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455499,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455500,Scots Bay,45.18333333,-64.98333333,2019-07-22,Lady Janice,Purse Seine,Sealife
455602,Sandy Cove NS,44.5155,-66.0875,2019-08-20,Brunswick Provider,Purse Seine,Connors
455750,McDormant Patch,44.5,-66.08333333,2019-09-06,Brunswick Provider,Purse Seine,Connors
455887,Scots Bay,45.19233333,-64.8695,2019-09-16,Canada 100,Purse Seine,Connors
455889,Scots Bay,45.13333333,-64.96666667,2019-09-03,Lady Janice,Purse Seine,Comeau Sea Foods
455976,Sandy Cove NS,44.5155,-66.0875,2019-08-20,Brunswick Provider,Purse Seine,Connors
456401,Sandy Cove NS,44.51333333,-66.09,2019-08-28,Canada 100,Purse Seine,Connors
456509,Scots Bay,45.17666667,-64.89666667,2019-09-16,Morning Star,Purse Seine,Scotia Gardens
456629,Seelys Head,45.04533333,-66.78,2019-09-05,Senator Neil,Weir,Connors
457012,German Bank,43.43333333,-66.3,2017-08-16,Leroy and Barry,Purse Seine,Scotia Gardens
457449,German Bank,43.43333333,-66.38333333,2017-07-26,Lady Melissa,Purse Seine,Sealife
457452,Northeast Bank,44.26316667,-67.01083333,2017-09-12,Canada 100,Purse Seine,Connors 
457506,German Bank,43.31266667,-66.386,2017-08-17,Brunswick Provider,Purse Seine,Connors 
457550,German Bank,43.48333333,-66.4,2017-07-26,Lady Janice,Purse Seine,Sealife
457674,German Bank,43.4,-66.35266667,2017-07-27,Lady Melissa,Purse Seine,Comeau Sea Foods
457761,German Bank,43.42083333,-66.41266667,2017-07-27,Canada 100,Purse Seine,Connors 
458234,German Bank,43.45,-66.33333333,2017-09-11,Margaret Elizabeth,Purse Seine,Connors 
458295,German Bank,43.4,-66.35266667,2017-07-27,Lady Melissa,Purse Seine,Comeau Sea Foods
458336,German Bank,43.4,-66.35266667,2017-07-27,Lady Melissa,Purse Seine,Comeau Sea Foods
458887,German Bank,43.451,-66.37183333,2017-08-21,Canada 100,Purse Seine,Connors 
459121,Scots Bay,45.179,-65.03716667,2019-07-22,Brunswick Provider,Purse Seine,Connors
459126,White Head Grand Manan,44.61666667,-66.65,2019-07-23,Fundy Monarch,Purse Seine,Connors
459268,Scots Bay,45.18333333,-65.01666667,2019-08-20,Lady Melissa,Purse Seine,Sealife
459313,Sandy Cove NS,44.5,-66.08333333,2019-09-06,Brunswick Provider,Purse Seine,Connors
459364,Sandy Cove NS,44.5,-66.1,2019-08-29,Brunswick Provider,Purse Seine,Connors
459394,Sandy Cove NS,44.51333333,-66.09,2019-08-28,Canada 100,Purse Seine,Connors
459473,Long Island,44.505,-66.09833333,2019-08-19,Leroy and Barry,Purse Seine,Scotia Gardens
459479,Scots Bay,45.13283333,-65.06883333,2019-08-06,Lady Melissa,Purse Seine,Comeau Sea Foods
459703,Scots Bay,45.21983333,-64.94333333,2019-08-21,Brunswick Provider,Purse Seine,Connors
459943,Scots Bay,45.15016667,-64.9415,2019-09-02,Canada 100,Purse Seine,Connors
459975,Scots Bay,45.15,-64.91666667,2019-09-03,Brunswick Provider,Purse Seine,Connors
459985,Scots Bay,45.106,-65.06133333,2019-09-04,Canada 100,Purse Seine,Connors
460003,Sandy Cove NS,44.5,-66.08333333,2019-09-06,Brunswick Provider,Purse Seine,Connors
460094,Sandy Cove NS,44.5155,-66.0875,2019-08-20,Brunswick Provider,Purse Seine,Connors
460131,Scots Bay,45.13333333,-64.96666667,2019-09-03,Morning Star,Purse Seine,Scotia Gardens
460132,German Bank,43.338,-66.373,2019-10-01,Lady Melissa,Purse Seine,Sealife
460183,Sandy Cove NS,44.5,-66.1,2019-09-17,Brunswick Provider,Purse Seine,Connors
460329,McDormant Patch,44.0885,-66.47533333,2019-09-06,Canada 100,Purse Seine,Connors
461321,Scots Bay,45.21666667,-64.93333333,2018-09-04,Morning Star,Purse Seine,Scotia Gardens
461337,Scots Bay,45.21666667,-64.93333333,2018-09-04,Morning Star,Purse Seine,Scotia Gardens
461768,Seal Island,43.46666667,-66.33333333,2018-09-13,Morning Star,Purse Seine,Scotia Gardens
