Survey,Tow,Survey_Date,Collection_Date,Ground,Length_Pixel,Length_mm,Yolk_sac,Preservative
1,1,2017-06-21,2017-06-22,Scots Bay,62,7.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,62,7.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,62,7.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,62,7.75,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,62,7.75,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,62,7.75,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.78,,70% Alcohol
6,12,2019-10-13,2019-10-13,Seal Island,,7.79,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,7.8,,70% Ethanol
5,7,2018-08-05,2018-08-05,Scots Bay,,7.8,,70% Ethanol
5,7,2018-08-05,2018-08-05,Scots Bay,,7.8,,70% Ethanol
5,7,2018-08-05,2018-08-05,Scots Bay,,7.8,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.8,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.82,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.82,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,63,7.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,63,7.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,63,7.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,63,7.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,63,7.875,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,63,7.875,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,63,7.875,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,63,7.875,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,63,7.875,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.88,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,7.9,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,7.9,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.9,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.92,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,7.92,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,7.94,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,64,8,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,64,8,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,64,8,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,64,8,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,64,8,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,8,,70% Ethanol
8,12,2019-09-15,2019-09-15,Scots Bay,,8.04,,4% Formalin
1,1,2019-06-08,2019-06-08,Scots Bay,,8.07,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,65,8.125,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,65,8.125,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,65,8.125,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,65,8.125,,4% Formalin
4,6,2018-07-21,2018-07-21,Scots Bay,,8.15,,70% Ethanol
6,14,2019-09-13,2019-09-13,Seal Island,,8.17,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.17,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.17,,70% Alcohol
1,1,2018-05-09,2018-05-09,Scots Bay,,8.21,1.86,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.21,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.22,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.23,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,66,8.25,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,8.25,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.29,,70% Alcohol
2,3,2019-06-22,2019-06-22,Scots Bay,,8.33,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,67,8.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,67,8.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,67,8.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,67,8.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,67,8.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,67,8.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,67,8.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,67,8.375,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,67,8.375,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,67,8.375,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,67,8.375,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,67,8.375,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,8.39,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.39,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.46,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.48,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,68,8.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,68,8.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,68,8.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,68,8.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,68,8.5,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,68,8.5,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,8.54,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.62,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,69,8.625,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,69,8.625,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,8.63,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,8.73,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,8.73,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,70,8.75,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,70,8.75,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,70,8.75,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,70,8.75,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,70,8.75,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,70,8.75,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,70,8.75,,4% Formalin
2,3,2019-06-22,2019-06-22,Scots Bay,,8.78,,70% Alcohol
5,7,2018-08-05,2018-08-05,Scots Bay,,8.8,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,8.81,,70% Alcohol
6,12,2019-10-13,2019-10-13,Seal Island,,8.87,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,71,8.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,71,8.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,71,8.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,71,8.875,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,71,8.875,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,71,8.875,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,71,8.875,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,71,8.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,72,9,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,72,9,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,72,9,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,9,,70% Ethanol
6,14,2019-09-13,2019-09-13,Seal Island,,9.11,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,73,9.125,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,9.13,,70% Alcohol
5,7,2018-08-05,2018-08-05,Scots Bay,,9.2,,70% Ethanol
1,2,2019-06-08,2019-06-08,Scots Bay,,9.24,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,74,9.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,74,9.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,74,9.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,74,9.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,74,9.25,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,9.31,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,75,9.375,,4% Formalin
6,14,2019-09-13,2019-09-13,Seal Island,,9.47,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,76,9.5,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,9.55,,70% Alcohol
8,13,2019-09-15,2019-09-15,Scots Bay,,9.59,,70% Alcohol
5,7,2018-08-05,2018-08-05,Scots Bay,,9.6,,70% Ethanol
5,7,2018-08-05,2018-08-05,Scots Bay,,9.6,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,77,9.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,77,9.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,77,9.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,77,9.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,78,9.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,78,9.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,78,9.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,78,9.75,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,9.8,,70% Ethanol
3,6,2019-07-06,2019-07-06,Scots Bay,,9.83,,70% Alcohol
1,1,2019-06-08,2019-06-08,Scots Bay,,9.84,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,79,9.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,79,9.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,79,9.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,79,9.875,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,80,10,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,80,10,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,80,10,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,80,10,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,80,10,,4% Formalin
5,7,2018-08-05,2018-08-05,Scots Bay,,10,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,81,10.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,81,10.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,81,10.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,81,10.125,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,81,10.125,,4% Formalin
8,12,2019-09-15,2019-09-15,Scots Bay,,10.15,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,10.2,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,82,10.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,82,10.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,82,10.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,82,10.25,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,82,10.25,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,82,10.25,,4% Formalin
6,5,2017-08-26,2017-08-26,Scots Bay,82,10.25,,4% Formalin
1,1,2018-05-09,2018-05-09,Scots Bay,,10.3,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,83,10.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,83,10.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,83,10.375,,4% Formalin
4,6,2018-07-21,2018-07-21,Scots Bay,,10.45,,70% Ethanol
8,13,2019-09-15,2019-09-15,Scots Bay,,10.45,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,10.46,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,84,10.5,,4% Formalin
6,14,2019-09-13,2019-09-13,Seal Island,,10.6,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,85,10.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,85,10.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,85,10.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,85,10.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,85,10.625,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,85,10.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,86,10.75,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,86,10.75,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,87,10.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,87,10.875,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,87,10.875,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,87,10.875,,4% Formalin
1,1,2019-06-08,2019-06-08,Scots Bay,,10.97,,70% Alcohol
8,12,2019-09-15,2019-09-15,Scots Bay,,10.99,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,10.99,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,89,11.125,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,89,11.125,,4% Formalin
3,6,2019-07-06,2019-07-06,Scots Bay,,11.17,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,90,11.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,90,11.25,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,90,11.25,,4% Formalin
5,4,2017-08-13,2017-08-13,Scots Bay,90,11.25,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,90,11.25,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,90,11.25,,4% Formalin
6,12,2019-10-13,2019-10-13,Seal Island,,11.27,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,11.37,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,91,11.375,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,91,11.375,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,91,11.375,,4% Formalin
4,3,2017-07-29,2017-07-29,Scots Bay,91,11.375,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,91,11.375,,4% Formalin
4,6,2018-07-21,2018-07-21,Scots Bay,,11.45,,70% Ethanol
1,1,2017-06-21,2017-06-22,Scots Bay,92,11.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,92,11.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,92,11.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,92,11.5,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,92,11.5,,4% Formalin
3,2,2017-07-15,2017-07-15,Scots Bay,92,11.5,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,11.58,,70% Alcohol
1,1,2017-06-21,2017-06-22,Scots Bay,93,11.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,93,11.625,,4% Formalin
1,1,2017-06-21,2017-06-22,Scots Bay,93,11.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,93,11.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,93,11.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,93,11.625,,4% Formalin
7,6,2017-09-08,2017-09-08,Scots Bay,93,11.625,,4% Formalin
8,13,2019-09-15,2019-09-15,Scots Bay,,11.65,,70% Alcohol
5,4,2017-08-13,2017-08-13,Scots Bay,94,11.75,,4% Formalin
