set,X,Y,RELEASE_DATE,RELEASE_VESSEL,Tagger,no_tags,Year,month,Julian,week
300,-64.99533333,45.154,2021-08-17,Sealife II,Lerman D'Eon,113,2021,8,229,33
301,-65.0011,45.149,2021-08-17,Morning Star,Lisa Houston,200,2021,8,229,33
302,-65.061,45.13783333,2021-08-17,Sealife II,Lerman D'Eon,87,2021,8,229,33
303,-65.0691,45.13388333,2021-08-17,Morning Star,Lisa Houston,200,2021,8,229,33
304,-65.07638333,45.13168333,2021-08-17,Lady Janice,Courtney Thomas,150,2021,8,229,33
305,-64.98611667,45.15926667,2021-08-18,Lady Janice,Courtney Thomas,150,2021,8,230,33
306,-65.01166667,45.149,2021-08-18,Sealife II,Lerman D'Eon,150,2021,8,230,33
307,-65.03458333,45.1419,2021-08-18,Lady Janice,Courtney Thomas,100,2021,8,230,33
308,-65.03316667,45.14416667,2021-08-19,Sealife II,Lerman D'Eon,100,2021,8,231,33
309,-66.30366667,43.44816667,2021-08-25,Sealife II,Lerman D'Eon,100,2021,8,237,34
310,-66.40478333,43.2792,2021-08-25,Morning Star,Lisa Houston,150,2021,8,237,34
311,-66.45593333,43.34161667,2021-08-27,Morning Star,Lisa Houston,200,2021,8,239,35
312,-65.02555,45.13751667,2021-08-30,Morning Star,Lisa Houston,200,2021,8,242,35
313,-65.03208333,45.13871667,2021-08-30,Lady Melissa,Darren Kelly,88,2021,8,242,35
314,-65.036,45.13666667,2021-08-30,Sealife II,Lerman D'Eon,140,2021,8,242,35
315,-65.03646667,45.13816667,2021-08-30,Morning Star,Lisa Houston,150,2021,8,242,35
316,-65.03716667,45.13433333,2021-08-30,Sealife II,Lerman D'Eon,110,2021,8,242,35
317,-65.04305,45.13481667,2021-08-30,Morning Star,Lisa Houston,200,2021,8,242,35
318,-65.0624,45.12588333,2021-08-30,Lady Janice,Courtney Thomas,150,2021,8,242,35
319,-65.04171667,45.13268333,2021-08-31,Lady Janice,Courtney Thomas,100,2021,8,243,35
320,-65.0535,45.12833333,2021-08-31,Sealife II,Lerman D'Eon,98,2021,8,243,35
321,-66.4175,43.332,2021-09-01,Lady Janice,Courtney Thomas,250,2021,9,244,35
322,-66.436,43.376,2021-09-01,Lady Janice,Courtney Thomas,128,2021,9,244,35
323,-65.03711667,45.13223333,2021-09-01,Lady Janice,Courtney Thomas,100,2021,9,244,35
324,-66.37366667,43.2765,2021-09-07,Sealife II,Lerman D'Eon,122,2021,9,250,36
325,-66.38495,43.2875,2021-09-07,Lady Janice,Courtney Thomas,150,2021,9,250,36
326,-66.38663333,43.29041667,2021-09-08,Lady Janice,Courtney Thomas,150,2021,9,251,36
327,-66.38866667,43.29666667,2021-09-09,Sealife II,Lerman D'Eon,111,2021,9,252,36
328,-66.397,43.29233333,2021-09-09,Sealife II,Lerman D'Eon,89,2021,9,252,36
329,-65.025,45.15016667,2021-09-14,Sealife II,Lerman D'Eon,200,2021,9,257,37
330,-65.06556667,45.13486667,2021-09-14,Morning Star,Lisa Houston,250,2021,9,257,37
331,-66.381,43.265,2021-09-21,Sealife II,Lerman D'Eon,176,2021,9,264,38
332,-66.39425,43.27295,2021-09-21,Lady Janice,Courtney Thomas,100,2021,9,264,38
333,-66.40563333,43.28245,2021-09-21,Lady Janice,Courtney Thomas,100,2021,9,264,38
334,-66.3655,43.25783333,2021-09-22,Sealife II,Lerman D'Eon,202,2021,9,265,38
335,-66.98415,44.28528333,2021-09-30,Lady Janice,Courtney Thomas,150,2021,9,273,39
336,-66.98816667,44.29883333,2021-09-30,Sealife II,Lerman D'Eon,172,2021,9,273,39
337,-66.45433333,43.291,2021-10-04,Sealife II,Lerman D'Eon,350,2021,10,277,40
338,-66.457222,43.296111,2021-10-04,Sealife II,Lerman D'Eon,19,2021,10,277,40
339,-66.96965,44.30986667,2021-10-04,Lady Janice,Courtney Thomas,150,2021,10,277,40
340,-67.00813333,44.26633333,2021-10-04,Lady Janice,Courtney Thomas,100,2021,10,277,40
341,-66.165,43.355,2021-10-05,Sealife II,Lerman D'Eon,50,2021,10,278,40
342,-66.16666667,43.33833333,2021-10-05,Sealife II,Lerman D'Eon,124,2021,10,278,40
343,-66.45016667,43.28733333,2021-10-05,Sealife II,Lerman D'Eon,457,2021,10,278,40
344,-66.46606667,43.30836667,2021-10-05,Lady Janice,Courtney Thomas,150,2021,10,278,40
345,-66.13416667,43.33,2021-10-06,Sealife II,Lerman D'Eon,100,2021,10,279,40
346,-67.01646667,44.28566667,2021-10-07,Lady Janice,Courtney Thomas,100,2021,10,280,40
347,-67.017833,44.277167,2021-10-07,Sealife II,Lerman D'Eon,333,2021,10,280,40
348,-67.03038333,44.26063333,2021-10-07,Lady Janice,Courtney Thomas,150,2021,10,280,40
349,-67.03533333,44.24933333,2021-10-07,Sealife II,Lerman D'Eon,119,2021,10,280,40
350,-66.33083333,43.29266667,2021-10-18,Lady Melissa,Darren Kelly,83,2021,10,291,42
351,-66.385683,43.304,2021-10-20,Lady Janice,Courtney Thomas,150,2021,10,293,42
352,-66.38633333,43.295,2021-10-20,Lady Melissa,Lerman D'Eon,117,2021,10,293,42
353,-66.387583,43.319583,2021-10-20,Lady Janice,Courtney Thomas,100,2021,10,293,42
354,-66.355,43.32933333,2021-10-21,Lady Melissa,Lerman D'Eon,300,2021,10,294,42
355,-66.373683,43.261467,2021-10-21,Lady Janice,Courtney Thomas,150,2021,10,294,42
356,-66.385633,43.309967,2021-10-22,Lady Janice,Courtney Thomas,100,2021,10,295,43
357,-66.331333,43.21255,2021-10-25,Lady Janice,Courtney Thomas,150,2021,10,298,43
358,-66.35375,43.2386,2021-10-25,Lady Janice,Courtney Thomas,100,2021,10,298,43
359,-66.355,43.329333,2021-10-25,Lady Melissa,Lerman D'Eon,400,2021,10,298,43
360,-66.354167,43.218333,2021-11-03,Lady Melissa,Lerman D'Eon,100,2021,11,307,44
361,-66.357217,43.238517,2021-11-03,Lady Janice,Courtney Thomas,100,2021,11,307,44
362,-67.0472,44.24748333,2022-06-05,Morning Star,Lisa Houston,250,2022,6,156,23
363,-67.02238333,44.26686667,2022-06-07,Morning Star,Lisa Houston,150,2022,6,158,23
364,-67.00473333,44.28283333,2022-06-08,Morning Star,Lisa Houston,100,2022,6,159,23
365,-67.00333333,44.27366667,2022-06-12,Tasha Marie,Dale Fitzgerald,62,2022,6,163,24
366,-67.00335,44.28618333,2022-06-13,Morning Star,Lisa Houston,200,2022,6,164,24
367,-67.00933333,44.30033333,2022-06-13,Tasha Marie,Dale Fitzgerald,42,2022,6,164,24
368,-67.003,44.27833333,2022-06-15,Tasha Marie,Dale Fitzgerald,146,2022,6,166,24
369,-67.04066667,44.25416667,2022-06-15,Tasha Marie,Dale Fitzgerald,89,2022,6,166,24
370,-67.02266667,44.25016667,2022-06-19,Tasha Marie,Dale Fitzgerald,157,2022,6,170,25
371,-66.98333333,44.27383333,2022-06-20,Tasha Marie,Dale Fitzgerald,160,2022,6,171,25
372,-67.02283333,44.23383333,2022-06-20,Tasha Marie,Dale Fitzgerald,144,2022,6,171,25
373,-66.99166667,44.26,2022-06-21,Tasha Marie,Dale Fitzgerald,150,2022,6,172,25
374,-67.01666667,44.26666667,2022-06-23,Tasha Marie,Dale Fitzgerald,182,2022,6,174,25
375,-66.616667,43.616667,2022-06-28,Tasha Marie,Dale Fitzgerald,127,2022,6,179,26
376,-66.6,43.616667,2022-06-29,Tasha Marie,Dale Fitzgerald,103,2022,6,180,26
377,-66.633333,43.6,2022-07-04,Tasha Marie,Dale Fitzgerald,238,2022,7,185,27
378,-66.633333,43.616667,2022-07-05,Tasha Marie,Dale Fitzgerald,135,2022,7,186,27
379,-66.65,43.633333,2022-07-05,Tasha Marie,Dale Fitzgerald,160,2022,7,186,27
380,-66.63333333,44.61666667,2022-07-05,Tasha Marie,Dale Fitzgerald,135,2022,7,186,27
381,-66.65,44.63333333,2022-07-07,Tasha Marie,Dale Fitzgerald,70,2022,7,188,27
382,-66.6555,44.618,2022-07-07,Canada 100,Nicole Seamone,450,2022,7,188,27
383,-66.65,44.63333333,2022-07-08,Tasha Marie,Dale Fitzgerald,155,2022,7,189,27
384,-66.65133333,44.624,2022-07-08,Canada 100,Nicole Seamone,450,2022,7,189,27
385,-62.53681667,44.1976,2022-07-10,Morning Star,Lisa Houston,150,2022,7,191,28
386,-64.981,45.1665,2022-07-11,Lady Janice,Darren Kelly,134,2022,7,192,28
387,-64.852,45.21168333,2022-07-26,Sealife II,Annik Doucette,150,2022,7,207,30
388,-62.31518333,43.98431667,2022-07-27,Lady Melissa,Chuck Lambert,150,2022,7,208,30
389,-64.91666667,45.18333333,2022-07-27,Tasha Marie,Dale Fitzgerald,143,2022,7,208,30
390,-64.91198333,45.1982,2022-07-28,Sealife II,Annik Doucette,70,2022,7,209,30
391,-66.34333333,44.10833333,2022-07-31,Sealife II,Annik Doucette,201,2022,7,212,31
392,-66.4949,43.89243333,2022-08-03,Lady Melissa,Chuck Lambert,299,2022,8,215,31
393,-64.92838333,45.1864,2022-08-07,Lady Melissa,Chuck Lambert,295,2022,8,219,32
394,-65.00546667,45.16176667,2022-08-07,Lady Melissa,Chuck Lambert,227,2022,8,219,32
395,-65.03181667,45.15131667,2022-08-07,Lady Melissa,Chuck Lambert,150,2022,8,219,32
396,-65.0465,45.146,2022-08-07,Morning Star,Drew Schrader,150,2022,8,219,32
397,-65.10636667,45.15536667,2022-08-07,Lady Melissa,Chuck Lambert,124,2022,8,219,32
398,-66.48333333,44.08333333,2022-08-08,Tasha Marie,Dale Fitzgerald,237,2022,8,220,32
399,-64.899167,45.1905,2022-08-08,Morning Star,Drew Schrader,300,2022,8,220,32
400,-65.101083,45.128333,2022-08-08,Sealife II,Annik Doucette,350,2022,8,220,32
401,-64.94023333,45.16556667,2022-08-09,Lady Melissa,Chuck Lambert,313,2022,8,221,32
402,-65.01695,45.15576667,2022-08-09,Lady Janice,Darren Kelly,99,2022,8,221,32
403,-66.31666667,44.28333333,2022-08-10,Tasha Marie,Dale Fitzgerald,200,2022,8,222,32
404,-64.88335,45.18843333,2022-08-10,Lady Melissa,Chuck Lambert,208,2022,8,222,32
405,-64.97125,45.15665,2022-08-10,Lady Melissa,Chuck Lambert,229,2022,8,222,32
406,-65.03943333,45.14163333,2022-08-10,Sealife II,Annik Doucette,200,2022,8,222,32
407,-66.46666667,44.15,2022-08-11,Tasha Marie,Dale Fitzgerald,190,2022,8,223,32
408,-64.88655,45.1933,2022-08-11,Sealife II,Annik Doucette,150,2022,8,223,32
409,-66.36666667,43.26666667,2022-08-15,Tasha Marie,Dale Fitzgerald,241,2022,8,227,33
410,-66.47433333,44.61983333,2022-08-15,Morning Star,Drew Schrader,350,2022,8,227,33
411,-66.42238333,43.29838333,2022-08-16,Lady Melissa,Chuck Lambert,179,2022,8,228,33
412,-66.44735,43.34535,2022-08-16,Lady Melissa,Chuck Lambert,371,2022,8,228,33
413,-66.45521667,43.32573333,2022-08-16,Sealife II,Annik Doucette,250,2022,8,228,33
414,-66.475,43.06083333,2022-08-16,Morning Star,Drew Schrader,150,2022,8,228,33
415,-64.99368333,45.1461,2022-08-22,Lady Melissa,Chuck Lambert,64,2022,8,234,34
416,-65.05455,45.12246667,2022-08-22,Lady Melissa,Chuck Lambert,68,2022,8,234,34
417,-67,44.26666667,2022-08-23,Tasha Marie,Dale Fitzgerald,169,2022,8,235,34
418,-64.99368333,45.1461,2022-08-23,Lady Melissa,Chuck Lambert,68,2022,8,235,34
419,-65.0344,45.12695,2022-08-23,Lady Melissa,Chuck Lambert,151,2022,8,235,34
420,-66.35058333,43.22238333,2022-08-24,Lady Melissa,Chuck Lambert,299,2022,8,236,34
421,-66.368317,43.289,2022-08-24,Sealife II,Annik Doucette,148,2022,8,236,34
422,-66.37978333,43.27011667,2022-08-24,Lady Melissa,Chuck Lambert,169,2022,8,236,34
423,-66.39218333,43.29388333,2022-08-24,Lady Melissa,Chuck Lambert,209,2022,8,236,34
424,-64.94386667,45.16295,2022-08-24,Lady Melissa,Chuck Lambert,249,2022,8,236,34
425,-65.0025,45.14533333,2022-08-24,Lady Janice,Courtney Thomas,200,2022,8,236,34
426,-66.36666667,43.31666667,2022-08-29,Tasha Marie,Dale Fitzgerald,178,2022,8,241,35
427,-66.37416667,43.28333333,2022-08-29,Morning Star,Drew Schrader,250,2022,8,241,35
428,-66.33363333,43.24338333,2022-08-30,Lady Melissa,Chuck Lambert,212,2022,8,242,35
429,-66.3675,43.28433333,2022-08-30,Morning Star,Drew Schrader,200,2022,8,242,35
430,-66.36825,43.2919,2022-08-30,Sealife II,Annik Doucette,150,2022,8,242,35
431,-66.35738333,43.25115,2022-08-31,Lady Melissa,Chuck Lambert,220,2022,8,243,35
432,-66.35968333,43.27793333,2022-08-31,Lady Melissa,Chuck Lambert,91,2022,8,243,35
433,-66.3662,43.277,2022-08-31,Morning Star,Drew Schrader,200,2022,8,243,35
434,-66.3797,43.30738333,2022-08-31,Morning Star,Drew Schrader,250,2022,8,243,35
435,-66.38485,43.27755,2022-08-31,Sealife II,Annik Doucette,250,2022,8,243,35
436,-66.35,43.25,2022-09-01,Tasha Marie,Dale Fitzgerald,320,2022,9,244,35
437,-66.35,43.26666667,2022-09-01,Tasha Marie,Dale Fitzgerald,202,2022,9,244,35
438,-66.35883333,43.2689,2022-09-01,Morning Star,Drew Schrader,250,2022,9,244,35
439,-66.37338333,43.28695,2022-09-01,Morning Star,Drew Schrader,250,2022,9,244,35
440,-64.98425,45.17516667,2022-09-06,Sealife II,Annik Doucette,200,2022,9,249,36
441,-64.88591667,45.19678333,2022-09-07,Sealife II,Annik Doucette,250,2022,9,250,36
442,-66.34903333,43.23446667,2022-09-12,Lady Melissa,Chuck Lambert,80,2022,9,255,37
443,-66.36568333,43.27091667,2022-09-12,Sealife II,Annik Doucette,148,2022,9,255,37
444,-66.00383333,43.0025,2022-09-12,Tasha Marie,Dale Fitzgerald,248,2022,9,255,37
445,-66.38333333,43.26666667,2022-09-13,Tasha Marie,Dale Fitzgerald,391,2022,9,256,37
446,-66.39785,43.25433333,2022-09-13,Lady Melissa,Chuck Lambert,168,2022,9,256,37
447,-66.41858333,43.2852,2022-09-13,Morning Star,Drew Schrader,150,2022,9,256,37
448,-66.4312,43.29043333,2022-09-13,Lady Melissa,Chuck Lambert,222,2022,9,256,37
449,-66.43151667,43.29738333,2022-09-13,Sealife II,Annik Doucette,136,2022,9,256,37
450,-66.35435,43.27028333,2022-09-18,Lady Melissa,Chuck Lambert,170,2022,9,261,38
451,-66.15923333,43.32823333,2022-09-19,Lady Melissa,Chuck Lambert,104,2022,9,262,38
452,-67.05416667,44.27335,2022-09-19,Morning Star,Drew Schrader,350,2022,9,262,38
453,-66.133333,43.316667,2022-09-20,Tasha Marie,Dale Fitzgerald,251,2022,9,263,38
454,-66.15371667,43.31733333,2022-09-20,Morning Star,Drew Schrader,150,2022,9,263,38
455,-66.98333333,44.26666667,2022-09-21,Tasha Marie,Dale Fitzgerald,346,2022,9,264,38
456,-66.18013333,43.38288333,2022-09-27,Sealife II,Annik Doucette,216,2022,9,270,39
457,-66.31041667,43.25168333,2022-09-27,Lady Melissa,Chuck Lambert,111,2022,9,270,39
458,-66.15,43.36666667,2022-09-28,Tasha Marie,Dale Fitzgerald,140,2022,9,271,39
459,-66.32086667,43.26085,2022-09-28,Lady Melissa,Chuck Lambert,138,2022,9,271,39
460,-66.33333333,43.26666667,2022-09-28,Tasha Marie,Dale Fitzgerald,366,2022,9,271,39
461,-66.35003333,43.2951,2022-09-28,Sealife II,Annik Doucette,250,2022,9,271,39
462,-66.36666667,43.23333333,2022-09-29,Tasha Marie,Dale Fitzgerald,437,2022,9,272,39
463,-67.0178,44.26613333,2022-10-03,Lady Melissa,Chuck Lambert,180,2022,10,276,40
464,-67.02846667,44.2615,2022-10-03,Sealife II,Annik Doucette,250,2022,10,276,40
465,-67.074033,49.235,2022-10-03,Sealife II,Annik Doucette,100,2022,10,276,40
466,-66.15,43.31666667,2022-10-06,Tasha Marie,Dale Fitzgerald,216,2022,10,279,40
467,-66.16666667,43.35,2022-10-06,Tasha Marie,Dale Fitzgerald,149,2022,10,279,40
468,-66.37333333,43.24038333,2022-10-11,Lady Melissa,Chuck Lambert,131,2022,10,284,41
469,-66.71666667,44.75,2022-10-11,Tasha Marie,Dale Fitzgerald,348,2022,10,284,41
470,-66.66213333,44.6727,2022-10-12,Lady Melissa,Chuck Lambert,212,2022,10,285,41
471,-66.71666667,44.75,2022-10-12,Tasha Marie,Dale Fitzgerald,446,2022,10,285,41
472,-66.72146667,44.75753333,2022-10-12,Lady Melissa,Chuck Lambert,146,2022,10,285,41
473,-66.714,44.746,2022-10-16,Lady Melissa,Chuck Lambert,396,2022,10,289,42
474,-66.73091667,44.78265,2022-10-16,Lady Melissa,Chuck Lambert,224,2022,10,289,42
475,-66.71666667,44.76666667,2022-10-17,Tasha Marie,Dale Fitzgerald,328,2022,10,290,42
476,-64.95236667,45.27881667,2023-06-06,Lady Melissa,Joseph Nickerson,123,2023,6,157,23
477,-67,44.26666667,2023-06-07,Tasha Marie,Dale Fitzgerald,197,2023,6,158,23
478,-64.83333333,45.28333333,2023-06-07,Tasha Marie,Dale Fitzgerald,245,2023,6,158,23
479,-64.90623333,45.28611667,2023-06-07,Sealife II,Annik Doucette,150,2023,6,158,23
480,-67.0866667,44.5441667,2023-06-08,Sealife II,Annik Doucette,200,2023,6,159,23
481,-66.95,44.28333333,2023-06-08,Tasha Marie,Dale Fitzgerald,238,2023,6,159,23
482,-66.95,44.3,2023-06-08,Tasha Marie,Dale Fitzgerald,216,2023,6,159,23
483,-67.00748333,44.27205,2023-06-08,Lady Melissa,Joseph Nickerson,130,2023,6,159,23
484,-66.99123333,44.28885,2023-06-09,Lady Melissa,Joseph Nickerson,206,2023,6,160,23
485,-66.48333333,44.06666667,2023-06-12,Tasha Marie,Dale Fitzgerald,173,2023,6,163,24
486,-66.48333333,44.1,2023-06-12,Tasha Marie,Dale Fitzgerald,188,2023,6,163,24
487,-65.2011111,45.3669444,2023-06-13,Sealife II,Annik Doucette,250,2023,6,164,24
488,-62.40945,43.96616667,2023-06-19,Lady Melissa,Joseph Nickerson,39,2023,6,170,25
489,-67.2108333,44.4277778,2023-06-19,Sealife II,Annik Doucette,200,2023,6,170,25
490,-66.95,44.28333333,2023-06-19,Tasha Marie,Dale Fitzgerald,93,2023,6,170,25
491,-65.2672222,45.3555556,2023-06-19,Sealife II,Annik Doucette,150,2023,6,170,25
492,-61.7268,44.17261667,2023-06-20,Lady Melissa,Joseph Nickerson,61,2023,6,171,25
493,-66.95,44.28333333,2023-06-20,Tasha Marie,Dale Fitzgerald,582,2023,6,171,25
494,-66.96776667,44.2814,2023-06-20,Sealife II,Annik Doucette,200,2023,6,171,25
495,-61.68581667,44.16388333,2023-06-21,Lady Melissa,Joseph Nickerson,130,2023,6,172,25
496,-61.701,44.16676667,2023-06-21,Lady Melissa,Joseph Nickerson,25,2023,6,172,25
497,-66.93333333,44.3,2023-06-21,Tasha Marie,Dale Fitzgerald,118,2023,6,172,25
498,-66.95,44.28333333,2023-06-21,Tasha Marie,Dale Fitzgerald,253,2023,6,172,25
499,-66.97916667,44.293,2023-06-21,Lady Janice,Lee Surette,150,2023,6,172,25
500,-66.98903333,44.30076667,2023-06-21,Sealife II,Annik Doucette,250,2023,6,172,25
501,-66.93935,44.29798333,2023-06-22,Sealife II,Annik Doucette,250,2023,6,173,25
502,-66.94583333,44.29283333,2023-06-22,Lady Janice,Lee Surette,150,2023,6,173,25
503,-66.98903333,43.3013889,2023-06-22,Sealife II,Annik Doucette,250,2023,6,173,25
504,-66.98333333,44.28333333,2023-06-22,Tasha Marie,Dale Fitzgerald,197,2023,6,173,25
505,-66.95733333,44.29216667,2023-06-23,Lady Janice,Lee Surette,200,2023,6,174,25
506,-66.96666667,44.28333333,2023-06-23,Tasha Marie,Dale Fitzgerald,288,2023,6,174,25
507,-66.96833333,44.28183333,2023-06-23,Lady Janice,Lee Surette,200,2023,6,174,25
508,-66.96944444,44.31,2023-06-24,Sealife II,Annik Doucette,200,2023,6,175,25
509,-67.01266667,44.256,2023-06-25,Lady Janice,Lee Surette,150,2023,6,176,26
510,-66.59533333,44.60116667,2023-06-26,Lady Janice,Lee Surette,150,2023,6,177,26
511,-66.62583333,44.62555556,2023-06-26,Canada 100,William Cusack,350,2023,6,177,26
512,-67.03722222,44.26222222,2023-06-26,Canada 100,William Cusack,400,2023,6,177,26
513,-67.02666667,44.29055556,2023-06-26,Canada 100,William Cusack,349,2023,6,177,26
514,-67.01933333,44.2705,2023-06-27,Lady Janice,Lee Surette,150,2023,6,178,26
515,-67.11666667,44.26666667,2023-06-27,Tasha Marie,Dale Fitzgerald,353,2023,6,178,26
516,-67.02666667,44.29055556,2023-06-27,Canada 100,William Cusack,1,2023,6,178,26
517,-66.65611111,44.62,2023-06-28,Canada 100,William Cusack,200,2023,6,179,26
518,-66.65,44.64388889,2023-06-28,Canada 100,William Cusack,100,2023,6,179,26
519,-67.03611111,44.27277778,2023-06-29,Sealife II,Annik Doucette,200,2023,6,180,26
520,-62.28722222,44.30111111,2023-07-01,Lady Melissa,Joseph Nickerson,154,2023,7,182,26
521,-62.29222222,45.8997875,2023-07-02,Lady Melissa,Joseph Nickerson,158,2023,7,183,27
522,-62.29222222,44.31027778,2023-07-02,Lady Melissa,Joseph Nickerson,92,2023,7,183,27
523,-66.56666667,44.61666667,2023-07-03,Tasha Marie,Dale Fitzgerald,304,2023,7,184,27
524,-66.83722222,45.26888889,2023-07-03,Sealife II,Annik Doucette,200,2023,7,184,27
525,-64.86166667,45.30111111,2023-07-03,Lady Janice,Lee Surette,150,2023,7,184,27
526,-64.9625,45.27555556,2023-07-03,Canada 100,William Cusack,400,2023,7,184,27
527,-64.845,45.26888889,2023-07-03,Canada 100,William Cusack,50,2023,7,184,27
528,-62.31027778,44.30222222,2023-07-04,Lady Melissa,Joseph Nickerson,144,2023,7,185,27
529,-66.55,44.6,2023-07-04,Tasha Marie,Dale Fitzgerald,232,2023,7,185,27
530,-66.5725,44.60388889,2023-07-04,Sealife II,Annik Doucette,150,2023,7,185,27
531,-66.58305556,44.6,2023-07-04,Lady Janice,Lee Surette,200,2023,7,185,27
532,-66.55,44.58333333,2023-07-04,Tasha Marie,Dale Fitzgerald,273,2023,7,185,27
533,-66.58833333,44.60888889,2023-07-04,Canada 100,William Cusack,350,2023,7,185,27
534,-66.56666667,44.6,2023-07-05,Tasha Marie,Dale Fitzgerald,262,2023,7,186,27
535,-66.58333333,44.6166667,2023-07-05,Tasha Marie,Dale Fitzgerald,109,2023,7,186,27
536,-66.58527778,44.65055556,2023-07-05,Lady Janice,Lee Surette,150,2023,7,186,27
537,-66.61166667,44.6244444,2023-07-05,Sealife II,Annik Doucette,200,2023,7,186,27
538,-66.5725,44.6244444,2023-07-05,Sealife II,Annik Doucette,200,2023,7,186,27
539,-66.59305556,44.59638889,2023-07-05,Lady Janice,Lee Surette,200,2023,7,186,27
540,-66.5922222,43.6216667,2023-07-05,Lady Janice,Lee Surette,150,2023,7,186,27
541,-66.58416667,44.59305556,2023-07-05,Canada 100,William Cusack,400,2023,7,186,27
542,-66.59222222,44.63166667,2023-07-05,Canada 100,William Cusack,150,2023,7,186,27
543,-66.58333333,44.56666667,2023-07-06,Tasha Marie,Dale Fitzgerald,210,2023,7,187,27
544,-66.58333333,44.61666667,2023-07-06,Tasha Marie,Dale Fitzgerald,126,2023,7,187,27
545,-66.6075,44.6380556,2023-07-06,Lady Janice,Lee Surette,150,2023,7,187,27
546,-66.58861111,44.57555556,2023-07-06,Lady Janice,Lee Surette,200,2023,7,187,27
547,-66.59333333,44.58166667,2023-07-06,Canada 100,William Cusack,400,2023,7,187,27
548,-66.58416667,44.58111111,2023-07-07,Sealife II,Annik Doucette,151,2023,7,188,27
549,-62.3125,44.28555556,2023-07-09,Lady Melissa,Joseph Nickerson,113,2023,7,190,28
550,-66.61666667,44.61666667,2023-07-10,Tasha Marie,Dale Fitzgerald,270,2023,7,191,28
551,-66.63333333,44.63333333,2023-07-10,Tasha Marie,Dale Fitzgerald,223,2023,7,191,28
552,-66.63722222,44.61583333,2023-07-10,Lady Janice,Lee Surette,200,2023,7,191,28
553,-66.63194444,44.63777778,2023-07-10,Sealife II,Annik Doucette,250,2023,7,191,28
554,-66.65027778,44.66,2023-07-11,Lady Janice,Lee Surette,150,2023,7,192,28
555,-67.02361111,44.26833333,2023-07-11,Lady Janice,Lee Surette,200,2023,7,192,28
556,-67.00027778,44.27527778,2023-07-12,Lady Janice,Lee Surette,200,2023,7,193,28
557,-67.00611111,44.26916667,2023-07-13,Lady Melissa,Joseph Nickerson,165,2023,7,194,28
558,-65.05305556,45.12333333,2023-07-16,Lady Melissa,Joseph Nickerson,104,2023,7,197,29
559,-66.58527778,44.61861111,2023-07-17,Lady Janice,Lee Surette,200,2023,7,198,29
560,-66.60166667,44.62472222,2023-07-17,Sealife II,Annik Doucette,300,2023,7,198,29
561,-65.00611111,45.135,2023-07-17,Lady Janice,Lee Surette,50,2023,7,198,29
562,-66.5775,44.62055556,2023-07-18,Lady Janice,Lee Surette,200,2023,7,199,29
563,-66.59277778,44.58472222,2023-07-18,Morning Star,Nicholas D'entremont,191,2023,7,199,29
564,-66.59166667,44.60277778,2023-07-18,Sealife II,Annik Doucette,300,2023,7,199,29
565,-66.60916667,44.60222222,2023-07-18,Lady Melissa,Joseph Nickerson,219,2023,7,199,29
566,-66.925,44.63472222,2023-07-19,Morning Star,Nicholas D'entremont,200,2023,7,200,29
567,-66.65277778,44.62611111,2023-07-19,Sealife II,Annik Doucette,150,2023,7,200,29
568,-66.6125,44.60305556,2023-07-19,Lady Melissa,Joseph Nickerson,105,2023,7,200,29
569,-66.605,44.60972222,2023-07-19,Lady Janice,Lee Surette,200,2023,7,200,29
570,-66.65805556,44.63277778,2023-07-19,Lady Janice,Lee Surette,200,2023,7,200,29
571,-66.80194444,45.06083333,2023-07-30,Canada 100,William Cusack,400,2023,7,211,31
572,-67.00305556,44.28555556,2023-07-31,Lady Janice,Lee Surette,250,2023,7,212,31
573,-67.01888889,44.27666667,2023-07-31,Lady Melissa,Joseph Nickerson,138,2023,7,212,31
574,-66.35805556,44.34916667,2023-08-14,Fundy Monarch,William Cusack,350,2023,8,226,33
575,-65.05638889,45.12166667,2023-08-20,Fundy Monarch,William Cusack,250,2023,8,232,34
576,-66.37361111,43.26611111,2023-08-21,Lady Melissa,Joseph Nickerson,122,2023,8,233,34
577,-66.16666667,43.38333333,2023-08-23,Tasha Marie,Dale Fitzgerald,345,2023,8,235,34
578,-65.06972222,45.13527778,2023-08-27,Lady Janice II,NA,250,2023,8,239,35
579,-64.95611111,45.18027778,2023-08-28,Canada 100,William Cusack,351,2023,8,240,35
580,-65.05194444,45.14111111,2023-08-28,Canada 100,William Cusack,301,2023,8,240,35
581,-66.16666667,43.3875,2023-08-23,Lady Melissa,Joseph Nickerson,186,2023,8,235,34
582,-66.41777778,43.35416667,2023-08-23,Morning Star,Nicholas D'entremont,200,2023,8,235,34
583,-64.85777778,45.19805556,2023-08-29,Canada 100,William Cusack,351,2023,8,241,35
584,-64.88638889,45.20138889,2023-08-29,Canada 100,William Cusack,351,2023,8,241,35
585,-66.22694444,43.48611111,2023-08-23,Morning Star,Nicholas D'entremont,400,2023,8,235,34
586,-66.32416667,43.24055556,2023-08-29,Lady Janice,Lee Surette,150,2023,8,241,35
587,-66.34,43.24111111,2023-08-29,Lady Janice,Lee Surette,50,2023,8,241,35
588,-66.38833333,43.28722222,2023-08-29,Lady Janice,Lee Surette,140,2023,8,241,35
589,-64.8775,45.1925,2023-08-28,Lady Melissa,Joseph Nickerson,186,2023,8,240,35
